"Site","Month","Species","total","nsurveys","freq"
"Arboretum",3,"Red Crossbill",55,70,0.785714285714286
"Arboretum",3,"Red-breasted Nuthatch",41,70,0.585714285714286
"Arboretum",3,"Red-tailed Hawk",1,70,0.0142857142857143
"Arboretum",3,"Ruby-crowned Kinglet",34,70,0.485714285714286
"Arboretum",3,"Song Sparrow",102,70,1.45714285714286
"Arboretum",3,"Spotted Towhee",29,70,0.414285714285714
"Arboretum",3,"Steller's Jay",12,70,0.171428571428571
"Arboretum",3,"Townsend's Warbler",17,70,0.242857142857143
"Arboretum",3,"Varied Thrush",48,70,0.685714285714286
"Arboretum",3,"Wood Duck",2,70,0.0285714285714286
"Arboretum",3,"Yellow-rumped Warbler",2,70,0.0285714285714286
"Arboretum",4,"American Crow",146,70,2.08571428571429
"Arboretum",4,"American Robin",171,70,2.44285714285714
"Arboretum",4,"Anna's Hummingbird",49,70,0.7
"Arboretum",4,"Bald Eagle",2,70,0.0285714285714286
"Arboretum",4,"Band-tailed Pigeon",12,70,0.171428571428571
"Arboretum",4,"Bewick's Wren",47,70,0.671428571428571
"Arboretum",4,"Black-capped Chickadee",83,70,1.18571428571429
"Arboretum",4,"Black-throated Gray Warbler",1,70,0.0142857142857143
"Arboretum",4,"Brown Creeper",10,70,0.142857142857143
"Arboretum",4,"Brown-headed Cowbird",1,70,0.0142857142857143
"Arboretum",4,"Bushtit",13,70,0.185714285714286
"Arboretum",4,"Chestnut-backed Chickadee",23,70,0.328571428571429
"Arboretum",4,"Cooper's Hawk",4,70,0.0571428571428571
"Arboretum",4,"Dark-eyed Junco",60,70,0.857142857142857
"Arboretum",4,"Downy Woodpecker",6,70,0.0857142857142857
"Arboretum",4,"Fox Sparrow",1,70,0.0142857142857143
"Arboretum",4,"Gadwall",9,70,0.128571428571429
"Arboretum",4,"Glaucous-winged Gull",3,70,0.0428571428571429
"Arboretum",4,"Golden-crowned Kinglet",102,70,1.45714285714286
"Arboretum",4,"Great Blue Heron",1,70,0.0142857142857143
"Arboretum",4,"House Finch",21,70,0.3
"Arboretum",4,"Hutton's Vireo",5,70,0.0714285714285714
"Arboretum",4,"Mallard",8,70,0.114285714285714
"Arboretum",4,"Northern Flicker",17,70,0.242857142857143
"Arboretum",4,"Orange-crowned Warbler",3,70,0.0428571428571429
"Arboretum",4,"Pacific Wren",8,70,0.114285714285714
"Arboretum",4,"Pacific-slope Flycatcher",1,70,0.0142857142857143
"Arboretum",4,"Pine Siskin",339,70,4.84285714285714
"Arboretum",4,"Red-breasted Nuthatch",34,70,0.485714285714286
"Arboretum",4,"Red-tailed Hawk",2,70,0.0285714285714286
"Arboretum",4,"Ruby-crowned Kinglet",24,70,0.342857142857143
"Arboretum",4,"Rufous Hummingbird",1,70,0.0142857142857143
"Arboretum",4,"Song Sparrow",110,70,1.57142857142857
"Arboretum",4,"Spotted Towhee",60,70,0.857142857142857
"Arboretum",4,"Steller's Jay",12,70,0.171428571428571
"Arboretum",4,"Townsend's Warbler",3,70,0.0428571428571429
"Arboretum",4,"Varied Thrush",8,70,0.114285714285714
"Arboretum",4,"Violet-green Swallow",2,70,0.0285714285714286
"Arboretum",4,"Yellow-rumped Warbler",17,70,0.242857142857143
"Arboretum",5,"American Crow",199,80,2.4875
"Arboretum",5,"American Goldfinch",14,80,0.175
"Arboretum",5,"American Robin",210,80,2.625
"Arboretum",5,"Anna's Hummingbird",42,80,0.525
"Arboretum",5,"Band-tailed Pigeon",9,80,0.1125
"Arboretum",5,"Bewick's Wren",75,80,0.9375
"Arboretum",5,"Black-capped Chickadee",45,80,0.5625
"Arboretum",5,"Brown Creeper",6,80,0.075
"Arboretum",5,"Brown-headed Cowbird",10,80,0.125
"Arboretum",5,"Bushtit",11,80,0.1375
"Arboretum",5,"Cedar Waxwing",18,80,0.225
"Arboretum",5,"Chestnut-backed Chickadee",16,80,0.2
"Arboretum",5,"Dark-eyed Junco",65,80,0.8125
"Arboretum",5,"Downy Woodpecker",3,80,0.0375
"Arboretum",5,"European Starling",12,80,0.15
"Arboretum",5,"Gadwall",4,80,0.05
"Arboretum",5,"Golden-crowned Kinglet",88,80,1.1
"Arboretum",5,"Great Blue Heron",2,80,0.025
"Arboretum",5,"Hermit Thrush",1,80,0.0125
"Arboretum",5,"House Finch",62,80,0.775
"Arboretum",5,"Hutton's Vireo",3,80,0.0375
"Arboretum",5,"Northern Flicker",9,80,0.1125
"Arboretum",5,"Orange-crowned Warbler",2,80,0.025
"Arboretum",5,"Pacific Wren",2,80,0.025
"Arboretum",5,"Pacific-slope Flycatcher",3,80,0.0375
"Arboretum",5,"Pine Siskin",134,80,1.675
"Arboretum",5,"Red-breasted Nuthatch",24,80,0.3
"Arboretum",5,"Red-tailed Hawk",1,80,0.0125
"Arboretum",5,"Song Sparrow",150,80,1.875
"Arboretum",5,"Spotted Towhee",60,80,0.75
"Arboretum",5,"Steller's Jay",8,80,0.1
"Arboretum",5,"Swainson's Thrush",1,80,0.0125
"Arboretum",5,"Vaux's Swift",4,80,0.05
"Arboretum",5,"Violet-green Swallow",8,80,0.1
"Arboretum",5,"Warbling Vireo",2,80,0.025
"Arboretum",5,"Western Tanager",34,80,0.425
"Arboretum",5,"Western Wood-Pewee",1,80,0.0125
"Arboretum",5,"Wilson's Warbler",31,80,0.3875
"Arboretum",6,"American Crow",153,70,2.18571428571429
"Arboretum",6,"American Goldfinch",4,70,0.0571428571428571
"Arboretum",6,"American Robin",220,70,3.14285714285714
"Arboretum",6,"Anna's Hummingbird",42,70,0.6
"Arboretum",6,"Band-tailed Pigeon",4,70,0.0571428571428571
"Arboretum",6,"Barn Owl",4,70,0.0571428571428571
"Arboretum",6,"Barn Swallow",5,70,0.0714285714285714
"Arboretum",6,"Barred Owl",3,70,0.0428571428571429
"Arboretum",6,"Bewick's Wren",48,70,0.685714285714286
"Arboretum",6,"Black-capped Chickadee",80,70,1.14285714285714
"Arboretum",6,"Black-headed Grosbeak",4,70,0.0571428571428571
"Arboretum",6,"Brown Creeper",23,70,0.328571428571429
"Arboretum",6,"Brown-headed Cowbird",11,70,0.157142857142857
"Arboretum",6,"Bushtit",48,70,0.685714285714286
"Arboretum",6,"Cedar Waxwing",6,70,0.0857142857142857
"Arboretum",6,"Chestnut-backed Chickadee",36,70,0.514285714285714
"Arboretum",6,"Cooper's Hawk",3,70,0.0428571428571429
"Arboretum",6,"Dark-eyed Junco",51,70,0.728571428571429
"Arboretum",6,"Downy Woodpecker",1,70,0.0142857142857143
"Arboretum",6,"European Starling",5,70,0.0714285714285714
"Arboretum",6,"Glaucous-winged Gull",1,70,0.0142857142857143
"Arboretum",6,"Golden-crowned Kinglet",121,70,1.72857142857143
"Arboretum",6,"House Finch",47,70,0.671428571428571
"Arboretum",6,"Hutton's Vireo",4,70,0.0571428571428571
"Arboretum",6,"Nashville Warbler",1,70,0.0142857142857143
"Arboretum",6,"Northern Flicker",13,70,0.185714285714286
"Arboretum",6,"Olive-sided Flycatcher",2,70,0.0285714285714286
"Arboretum",6,"Orange-crowned Warbler",1,70,0.0142857142857143
"Arboretum",6,"Pacific-slope Flycatcher",10,70,0.142857142857143
"Arboretum",6,"Pine Siskin",64,70,0.914285714285714
"Arboretum",6,"Red Crossbill",5,70,0.0714285714285714
"Arboretum",6,"Red-breasted Nuthatch",27,70,0.385714285714286
"Arboretum",6,"Ruby-crowned Kinglet",1,70,0.0142857142857143
"Arboretum",6,"Song Sparrow",112,70,1.6
"Arboretum",6,"Spotted Towhee",71,70,1.01428571428571
"Arboretum",6,"Steller's Jay",8,70,0.114285714285714
"Arboretum",6,"Vaux's Swift",27,70,0.385714285714286
"Arboretum",6,"Violet-green Swallow",28,70,0.4
"Arboretum",6,"Western Tanager",5,70,0.0714285714285714
"Arboretum",7,"American Crow",218,70,3.11428571428571
"Arboretum",7,"American Goldfinch",3,70,0.0428571428571429
"Arboretum",7,"American Robin",102,70,1.45714285714286
"Arboretum",7,"Anna's Hummingbird",35,70,0.5
"Arboretum",7,"Band-tailed Pigeon",5,70,0.0714285714285714
"Arboretum",7,"Barn Swallow",27,70,0.385714285714286
"Arboretum",7,"Barred Owl",3,70,0.0428571428571429
"Arboretum",7,"Bewick's Wren",72,70,1.02857142857143
"Arboretum",7,"Black-backed Woodpecker",6,70,0.0857142857142857
"Arboretum",7,"Black-capped Chickadee",141,70,2.01428571428571
"Arboretum",7,"Brown Creeper",4,70,0.0571428571428571
"Arboretum",7,"Brown-headed Cowbird",6,70,0.0857142857142857
"Arboretum",7,"Bushtit",19,70,0.271428571428571
"Arboretum",7,"Cedar Waxwing",19,70,0.271428571428571
"Arboretum",7,"Chestnut-backed Chickadee",42,70,0.6
"Arboretum",7,"Cliff Swallow",30,70,0.428571428571429
"Arboretum",7,"Cooper's Hawk",15,70,0.214285714285714
"Arboretum",7,"Dark-eyed Junco",38,70,0.542857142857143
"Arboretum",7,"Double-crested Cormorant",1,70,0.0142857142857143
"Arboretum",7,"Downy Woodpecker",3,70,0.0428571428571429
"Arboretum",7,"Glaucous-winged Gull",1,70,0.0142857142857143
"Arboretum",7,"Golden-crowned Kinglet",227,70,3.24285714285714
"Arboretum",7,"House Finch",42,70,0.6
"Arboretum",7,"Hutton's Vireo",3,70,0.0428571428571429
"Arboretum",7,"Northern Flicker",18,70,0.257142857142857
"Arboretum",7,"Olive-sided Flycatcher",3,70,0.0428571428571429
"Arboretum",7,"Pacific-slope Flycatcher",6,70,0.0857142857142857
"Arboretum",7,"Pine Siskin",10,70,0.142857142857143
"Arboretum",7,"Purple Martin",6,70,0.0857142857142857
"Arboretum",7,"Red-breasted Nuthatch",45,70,0.642857142857143
"Arboretum",7,"Red-tailed Hawk",1,70,0.0142857142857143
"Arboretum",7,"Song Sparrow",48,70,0.685714285714286
"Arboretum",7,"Spotted Towhee",83,70,1.18571428571429
"Arboretum",7,"Steller's Jay",32,70,0.457142857142857
"Arboretum",7,"Vaux's Swift",33,70,0.471428571428571
"Arboretum",7,"Violet-green Swallow",85,70,1.21428571428571
"Arboretum",7,"Western Tanager",3,70,0.0428571428571429
"Arboretum",7,"Yellow-rumped Warbler",1,70,0.0142857142857143
"Arboretum",8,"American Crow",141,69,2.04347826086957
"Arboretum",8,"American Goldfinch",6,69,0.0869565217391304
"Arboretum",8,"American Robin",46,69,0.666666666666667
"Arboretum",8,"Anna's Hummingbird",57,69,0.826086956521739
"Arboretum",8,"Band-tailed Pigeon",2,69,0.0289855072463768
"Arboretum",8,"Barn Swallow",55,69,0.797101449275362
"Arboretum",8,"Bewick's Wren",82,69,1.18840579710145
"Arboretum",8,"Black-capped Chickadee",171,69,2.47826086956522
"Arboretum",8,"Black-headed Grosbeak",2,69,0.0289855072463768
"Arboretum",8,"Brown Creeper",6,69,0.0869565217391304
"Arboretum",8,"Bushtit",19,69,0.27536231884058
"Arboretum",8,"Cedar Waxwing",13,69,0.188405797101449
"Arboretum",8,"Chestnut-backed Chickadee",39,69,0.565217391304348
"Arboretum",8,"Cliff Swallow",6,69,0.0869565217391304
"Arboretum",8,"Downy Woodpecker",5,69,0.072463768115942
"Arboretum",8,"European Starling",5,69,0.072463768115942
"Arboretum",8,"Glaucous-winged Gull",3,69,0.0434782608695652
"Arboretum",8,"Golden-crowned Kinglet",222,69,3.21739130434783
"Arboretum",8,"House Finch",10,69,0.144927536231884
"Arboretum",8,"Hutton's Vireo",5,69,0.072463768115942
"Arboretum",8,"Mallard",3,69,0.0434782608695652
"Arboretum",8,"Northern Flicker",22,69,0.318840579710145
"Arboretum",8,"Olive-sided Flycatcher",1,69,0.0144927536231884
"Arboretum",8,"Pacific-slope Flycatcher",2,69,0.0289855072463768
"Arboretum",8,"Pine Siskin",16,69,0.231884057971014
"Arboretum",8,"Purple Martin",3,69,0.0434782608695652
"Arboretum",8,"Red-breasted Nuthatch",72,69,1.04347826086957
"Arboretum",8,"Rock Pigeon",2,69,0.0289855072463768
"Arboretum",8,"Song Sparrow",30,69,0.434782608695652
"Arboretum",8,"Spotted Towhee",12,69,0.173913043478261
"Arboretum",8,"Steller's Jay",33,69,0.478260869565217
"Arboretum",8,"Swainson's Thrush",1,69,0.0144927536231884
"Arboretum",8,"Vaux's Swift",51,69,0.739130434782609
"Arboretum",8,"Violet-green Swallow",6,69,0.0869565217391304
"Arboretum",8,"Western Tanager",2,69,0.0289855072463768
"Arboretum",9,"American Crow",146,70,2.08571428571429
"Arboretum",9,"American Goldfinch",11,70,0.157142857142857
"Arboretum",9,"American Robin",60,70,0.857142857142857
"Arboretum",9,"Anna's Hummingbird",44,70,0.628571428571429
"Arboretum",9,"Band-tailed Pigeon",5,70,0.0714285714285714
"Arboretum",9,"Belted Kingfisher",3,70,0.0428571428571429
"Arboretum",9,"Bewick's Wren",60,70,0.857142857142857
"Arboretum",9,"Black-capped Chickadee",161,70,2.3
"Arboretum",9,"Brown Creeper",15,70,0.214285714285714
"Arboretum",9,"Bushtit",5,70,0.0714285714285714
"Arboretum",9,"Cedar Waxwing",135,70,1.92857142857143
"Arboretum",9,"Chestnut-backed Chickadee",36,70,0.514285714285714
"Arboretum",9,"Cooper's Hawk",5,70,0.0714285714285714
"Arboretum",9,"Dark-eyed Junco",33,70,0.471428571428571
"Arboretum",9,"Double-crested Cormorant",1,70,0.0142857142857143
"Arboretum",9,"Downy Woodpecker",2,70,0.0285714285714286
"Arboretum",9,"European Starling",17,70,0.242857142857143
"Arboretum",9,"Evening Grosbeak",14,70,0.2
"Arboretum",9,"Glaucous-winged Gull",5,70,0.0714285714285714
"Arboretum",9,"Golden-crowned Kinglet",367,70,5.24285714285714
"Arboretum",9,"Great Blue Heron",2,70,0.0285714285714286
"Arboretum",9,"Hermit Thrush",1,70,0.0142857142857143
"Arboretum",9,"House Finch",18,70,0.257142857142857
"Arboretum",9,"Hutton's Vireo",5,70,0.0714285714285714
"Arboretum",9,"Mallard",1,70,0.0142857142857143
"Arboretum",9,"Northern Flicker",23,70,0.328571428571429
"Arboretum",9,"Pine Siskin",15,70,0.214285714285714
"Arboretum",9,"Red-breasted Nuthatch",55,70,0.785714285714286
"Arboretum",9,"Ruby-crowned Kinglet",1,70,0.0142857142857143
"Arboretum",9,"Song Sparrow",54,70,0.771428571428571
"Arboretum",9,"Spotted Towhee",21,70,0.3
"Arboretum",9,"Steller's Jay",21,70,0.3
"Arboretum",9,"Swainson's Thrush",5,70,0.0714285714285714
"Arboretum",9,"Townsend's Warbler",6,70,0.0857142857142857
"Arboretum",9,"Varied Thrush",4,70,0.0571428571428571
"Arboretum",9,"Violet-green Swallow",2,70,0.0285714285714286
"Arboretum",10,"American Crow",131,70,1.87142857142857
"Arboretum",10,"American Goldfinch",15,70,0.214285714285714
"Arboretum",10,"American Robin",215,70,3.07142857142857
"Arboretum",10,"Anna's Hummingbird",33,70,0.471428571428571
"Arboretum",10,"Band-tailed Pigeon",24,70,0.342857142857143
"Arboretum",10,"Belted Kingfisher",2,70,0.0285714285714286
"Arboretum",10,"Bewick's Wren",79,70,1.12857142857143
"Arboretum",10,"Black-capped Chickadee",180,70,2.57142857142857
"Arboretum",10,"Brown Creeper",9,70,0.128571428571429
"Arboretum",10,"Canada Goose",1,70,0.0142857142857143
"Arboretum",10,"Cedar Waxwing",28,70,0.4
"Arboretum",10,"Chestnut-backed Chickadee",24,70,0.342857142857143
"Arboretum",10,"Cooper's Hawk",2,70,0.0285714285714286
"Arboretum",10,"Dark-eyed Junco",70,70,1
"Arboretum",10,"Double-crested Cormorant",4,70,0.0571428571428571
"Arboretum",10,"Downy Woodpecker",7,70,0.1
"Arboretum",10,"European Starling",31,70,0.442857142857143
"Arboretum",10,"Fox Sparrow",2,70,0.0285714285714286
"Arboretum",10,"Glaucous-winged Gull",5,70,0.0714285714285714
"Arboretum",10,"Golden-crowned Kinglet",563,70,8.04285714285714
"Arboretum",10,"Hermit Thrush",3,70,0.0428571428571429
"Arboretum",10,"House Finch",37,70,0.528571428571429
"Arboretum",10,"Mallard",4,70,0.0571428571428571
"Arboretum",10,"Merlin",1,70,0.0142857142857143
"Arboretum",10,"Northern Flicker",59,70,0.842857142857143
"Arboretum",10,"Pacific Wren",30,70,0.428571428571429
"Arboretum",10,"Pine Siskin",26,70,0.371428571428571
"Arboretum",10,"Red-breasted Nuthatch",54,70,0.771428571428571
"Arboretum",10,"Ruby-crowned Kinglet",29,70,0.414285714285714
"Arboretum",10,"Song Sparrow",90,70,1.28571428571429
"Arboretum",10,"Spotted Towhee",15,70,0.214285714285714
"Arboretum",10,"Steller's Jay",35,70,0.5
"Arboretum",10,"Townsend's Warbler",8,70,0.114285714285714
"Arboretum",10,"Varied Thrush",21,70,0.3
"Arboretum",10,"Yellow-rumped Warbler",1,70,0.0142857142857143
"Arboretum",11,"American Crow",253,70,3.61428571428571
"Arboretum",11,"American Goldfinch",1,70,0.0142857142857143
"Arboretum",11,"American Robin",92,70,1.31428571428571
"Arboretum",11,"Anna's Hummingbird",56,70,0.8
"Arboretum",11,"Band-tailed Pigeon",1,70,0.0142857142857143
"Arboretum",11,"Belted Kingfisher",1,70,0.0142857142857143
"Arboretum",11,"Bewick's Wren",55,70,0.785714285714286
"Arboretum",11,"Black-capped Chickadee",100,70,1.42857142857143
"Arboretum",11,"Brown Creeper",1,70,0.0142857142857143
"Arboretum",11,"Bushtit",60,70,0.857142857142857
"Arboretum",11,"Chestnut-backed Chickadee",49,70,0.7
"Arboretum",11,"Cooper's Hawk",1,70,0.0142857142857143
"Arboretum",11,"Dark-eyed Junco",45,70,0.642857142857143
"Arboretum",11,"Downy Woodpecker",1,70,0.0142857142857143
"Arboretum",11,"Fox Sparrow",1,70,0.0142857142857143
"Arboretum",11,"Gadwall",6,70,0.0857142857142857
"Arboretum",11,"Glaucous-winged Gull",9,70,0.128571428571429
"Arboretum",11,"Golden-crowned Kinglet",472,70,6.74285714285714
"Arboretum",11,"Hermit Thrush",1,70,0.0142857142857143
"Arboretum",11,"House Finch",2,70,0.0285714285714286
"Arboretum",11,"Mallard",3,70,0.0428571428571429
"Arboretum",11,"Merlin",1,70,0.0142857142857143
"Arboretum",11,"Northern Flicker",34,70,0.485714285714286
"Arboretum",11,"Pacific Wren",32,70,0.457142857142857
"Arboretum",11,"Pine Siskin",54,70,0.771428571428571
"Arboretum",11,"Red-breasted Nuthatch",40,70,0.571428571428571
"Arboretum",11,"Red-tailed Hawk",1,70,0.0142857142857143
"Arboretum",11,"Ruby-crowned Kinglet",35,70,0.5
"Arboretum",11,"Song Sparrow",47,70,0.671428571428571
"Arboretum",11,"Spotted Towhee",11,70,0.157142857142857
"Arboretum",11,"Steller's Jay",10,70,0.142857142857143
"Arboretum",11,"Townsend's Warbler",2,70,0.0285714285714286
"Arboretum",11,"Varied Thrush",16,70,0.228571428571429
"Arboretum",12,"American Crow",175,49,3.57142857142857
"Arboretum",12,"American Goldfinch",2,49,0.0408163265306122
"Arboretum",12,"American Robin",88,49,1.79591836734694
"Arboretum",12,"Anna's Hummingbird",25,49,0.510204081632653
"Arboretum",12,"Bald Eagle",2,49,0.0408163265306122
"Arboretum",12,"Bewick's Wren",38,49,0.775510204081633
"Arboretum",12,"Black-capped Chickadee",60,49,1.22448979591837
"Arboretum",12,"Brown Creeper",7,49,0.142857142857143
"Arboretum",12,"Bushtit",9,49,0.183673469387755
"Arboretum",12,"Cedar Waxwing",1,49,0.0204081632653061
"Arboretum",12,"Chestnut-backed Chickadee",11,49,0.224489795918367
"Arboretum",12,"Cooper's Hawk",1,49,0.0204081632653061
"Arboretum",12,"Dark-eyed Junco",18,49,0.36734693877551
"Arboretum",12,"Downy Woodpecker",3,49,0.0612244897959184
"Arboretum",12,"European Starling",11,49,0.224489795918367
"Arboretum",12,"Glaucous-winged Gull",11,49,0.224489795918367
"Arboretum",12,"Golden-crowned Kinglet",184,49,3.75510204081633
"Arboretum",12,"Hermit Thrush",1,49,0.0204081632653061
"Arboretum",12,"Mallard",2,49,0.0408163265306122
"Arboretum",12,"Northern Flicker",21,49,0.428571428571429
"Arboretum",12,"Pacific Wren",11,49,0.224489795918367
"Arboretum",12,"Pine Siskin",78,49,1.59183673469388
"Arboretum",12,"Red-breasted Nuthatch",18,49,0.36734693877551
"Arboretum",12,"Red-tailed Hawk",3,49,0.0612244897959184
"Arboretum",12,"Ruby-crowned Kinglet",28,49,0.571428571428571
"Arboretum",12,"Sharp-shinned Hawk",1,49,0.0204081632653061
"Arboretum",12,"Song Sparrow",18,49,0.36734693877551
"Arboretum",12,"Spotted Towhee",8,49,0.163265306122449
"Arboretum",12,"Steller's Jay",5,49,0.102040816326531
"Arboretum",12,"Townsend's Warbler",5,49,0.102040816326531
"Arboretum",12,"Varied Thrush",3,49,0.0612244897959184
"Carkeek Park",1,"American Crow",596,194,3.07216494845361
"Carkeek Park",1,"American Goldfinch",40,194,0.206185567010309
"Carkeek Park",1,"American Robin",133,194,0.685567010309278
"Carkeek Park",1,"Anna's Hummingbird",30,194,0.154639175257732
"Carkeek Park",1,"Bald Eagle",6,194,0.0309278350515464
"Carkeek Park",1,"Band-tailed Pigeon",19,194,0.0979381443298969
"Carkeek Park",1,"Barrow's Goldeneye",3,194,0.0154639175257732
"Carkeek Park",1,"Bewick's Wren",21,194,0.108247422680412
"Carkeek Park",1,"Black-capped Chickadee",279,194,1.43814432989691
"Carkeek Park",1,"Brown Creeper",11,194,0.0567010309278351
"Carkeek Park",1,"Bushtit",12,194,0.0618556701030928
"Carkeek Park",1,"Chestnut-backed Chickadee",28,194,0.144329896907216
"Carkeek Park",1,"Common Goldeneye",1,194,0.00515463917525773
"Carkeek Park",1,"Dark-eyed Junco",40,194,0.206185567010309
"Carkeek Park",1,"Double-crested Cormorant",1,194,0.00515463917525773
"Carkeek Park",1,"Downy Woodpecker",11,194,0.0567010309278351
"Carkeek Park",1,"European Starling",7,194,0.0360824742268041
"Carkeek Park",1,"Fox Sparrow",6,194,0.0309278350515464
